# model=heuristic triples=9188 ents=523 rels=32
# metrics={'mrr': 0.0, 'hits_at_1': 0.0, 'hits_at_5': 0.0, 'hits_at_10': 0.0}
subject	predicate	object	score
gene_15	REGULATES	phenotype_29	0.6055000308971996
chemical_31	PREVENTS	disease_77	0.5098018277673891
asthma	ASSOCIATED_WITH	gene_71	0.553390749092293
disease_14	AFFECTS	gene_83	0.47535202153469663
chemical_44	TREATS	eczema	0.5157154240454827
gene_26	REGULATES	phenotype_2	0.4940246210611341
aspirin	STIMULATES	gene_30	0.6498395471245882
bronchitis	ASSOCIATED_WITH	gene_21	0.4812596015513095
aneurysm	AFFECTS	gene_23	0.46223726743633603
chemical_42	AFFECTS	phenotype_14	0.619614316616664
chemical_84	REGULATES	gene_79	0.5399262604053964
sarcoma	CAUSES	phenotype_70	0.6101175287533959
diabetes	ASSOCIATED_WITH	phenotype_47	0.5402759949939324
trastuzumab	STIMULATES	gene_67	0.4924624979442603
APOE	REGULATES	mTOR	0.6710738013890029
vitamin C	CAUSES	disease_54	0.4265109713763466
chemical_65	TREATS	colitis	0.48948591584876133
chemical_48	REGULATES	BRCA2	0.40877871942178984
chemical_18	STIMULATES	ischemia	0.4793477438458997
PSEN1	REGULATES	gene_14	0.553041014503757
chemical_60	TREATS	cancer	0.5288301781438433
gene_59	REGULATES	phenotype_25	0.5464836374545766
GABA	TREATS	disease_57	0.48292853879958103
phenotype_18	AFFECTS	phenotype_13	0.619614316616664
gene_32	AFFECTS	phenotype_20	0.5015815297314181
disease_9	CAUSES	phenotype_64	0.6232322828517566
warfarin	REGULATES	gene_25	0.4284508505693308
gene_38	REGULATES	NOS3	0.6120574079463799
chemical_0	PRODUCES	gene_21	0.5148669477651661
disease_71	AFFECTS	gene_42	0.4687946444855164
gene_84	INTERACTS_WITH	PIK3CA	0.6091961728958981
chemical_20	AFFECTS	methylation	0.46223726743633603
IL6	INTERACTS_WITH	gene_4	0.589524041748357
CXCL8	AFFECTS	gene_38	0.5474831690756804
CAT	STIMULATES	phenotype_38	0.6104952848295062
chemical_59	REGULATES	gene_37	0.5595983915529373
lisinopril	REGULATES	gene_3	0.5268115063070357
TDP43	INTERACTS_WITH	gene_31	0.609196172895898
disease_37	ASSOCIATED_WITH	phenotype_35	0.4943743556496702
gene_36	INTERACTS_WITH	gene_73	0.6091961728958981
phenotype_16	AFFECTS	phenotype_92	0.5146962838297787
resveratrol	CAUSES	disease_32	0.4855273648189696
FOXP3	STIMULATES	phenotype_22	0.5711510225344243
chemical_12	PRODUCES	gene_4	0.5607685871094283
stroke	CAUSES	phenotype_24	0.5707732664583139
disease_76	ASSOCIATED_WITH	gene_60	0.5009317326988504
gene_80	REGULATES	gene_56	0.6317295390939209
magnesium	PREVENTS	neuropathy	0.5884903523575531
chemical_0	INHIBITS	phenotype_80	0.5495053806168939
simvastatin	INHIBITS	phenotype_78	0.4904889871742709
phenotype_43	AFFECTS	phenotype_75	0.501581529731418
phenotype_2	AFFECTS	phenotype_83	0.6261716936658442
chemical_18	STIMULATES	gene_24	0.5121346290918014
phenotype_23	AFFECTS	phenotype_32	0.46223726743633603
disease_33	AFFECTS	gene_14	0.442565136288795
gene_35	AFFECTS	necrosis	0.5933848084199427
chemical_14	CAUSES	disease_58	0.4658552336714286
chemical_9	PREVENTS	psoriasis	0.5229165818657499
gene_38	INTERACTS_WITH	gene_73	0.589524041748357
disease_12	CAUSES	phenotype_69	0.4724126107206089
disease_57	ASSOCIATED_WITH	phenotype_84	0.5927350113873749
gene_30	REGULATES	phenotype_61	0.7891065882742488
chemical_79	STIMULATES	phenotype_18	0.49901987499344064
gene_78	INTERACTS_WITH	NOS3	0.6419830581417997
gene_57	REGULATES	phenotype_4	0.6907459325365439
lithium	CAUSES	disease_60	0.49208474186814993
melanoma	ASSOCIATED_WITH	phenotype_71	0.4353579622070472
phenotype_8	AFFECTS	phosphorylation	0.6458438248133852
gene_37	INTERACTS_WITH	gene_8	0.5764092876499964
gene_40	REGULATES	phenotype_59	0.7104180636840849
gene_18	INTERACTS_WITH	IFNG	0.4846060089614719
fibrosis	ASSOCIATED_WITH	phenotype_51	0.7042104212234406
epilepsy	ASSOCIATED_WITH	NOS3	0.5796202572890143
omega-3	INHIBITS	phenotype_1	0.5232758724201726
chemical_76	CAUSES	hepatitis	0.4527404795730679
chemical_74	STIMULATES	phenotype_27	0.505577252042621
acetylcholine	PREVENTS	disease_1	0.45734281137394656
cancer	AFFECTS	gene_33	0.41633562809207375
gene_4	AFFECTS	IL10	0.5409257920265
norepinephrine	AFFECTS	phenotype_39	0.5212536608789591
epilepsy	AFFECTS	gene_42	0.5343684149773197
CXCL8	STIMULATES	phenotype_91	0.525249383190162
CRP	REGULATES	phenotype_69	0.5727131456512979
disease_70	AFFECTS	gene_46	0.37043398874781147
chemical_66	CAUSES	disease_5	0.45929785662224826
chemical_78	REGULATES	gene_73	0.48746724401195374
chemical_37	PRODUCES	gene_16	0.6197849805520513
chemical_70	REGULATES	gene_16	0.5923852767988389
gene_40	INTERACTS_WITH	NOS3	0.6550978122401604
gene_0	AFFECTS	phenotype_86	0.5671553002232214
gene_20	REGULATES	phenotype_49	0.6776311784381832
aspirin	PRODUCES	gene_2	0.573883341207789
chemical_59	AFFECTS	phenotype_87	0.4753520215346967
chemical_76	STIMULATES	phenotype_87	0.48590512089508003
sarcoma	ASSOCIATED_WITH	phenotype_37	0.5992923884365553
gene_16	AFFECTS	gene_32	0.599942185469123
gene_75	REGULATES	phenotype_50	0.6382869161431013
gene_44	REGULATES	phenotype_78	0.61205740794638
chemical_19	PRODUCES	gene_13	0.573883341207789
chemical_35	AFFECTS	erythropoiesis	0.5474831690756804
chemical_4	CAUSES	disease_15	0.4068388402288056
phenotype_32	CO_OCCURRED_WITH	phenotype_34	0.6138465883333103
chemical_30	STIMULATES	phenotype_20	0.45311823564917836
chemical_32	CAUSES	depression	0.5051994959665106
chemical_25	TREATS	stroke	0.47637116175040073
lisinopril	PRODUCES	gene_79	0.5804407182569694
disease_32	CAUSES	phenotype_82	0.511756873015691
phenotype_49	CO_OCCURRED_WITH	phenotype_9	0.6269613424316709
chemical_77	PRODUCES	PIK3CA	0.5542112100602481
gene_79	AFFECTS	IL1B	0.599942185469123
embolism	AFFECTS	phenotype_0	0.4950241526822376
resveratrol	PRODUCES	gene_17	0.5673259641586087
gene_11	INTERACTS_WITH	gene_51	0.5764092876499963
phenotype_38	AFFECTS	phenotype_71	0.5737126772724016
fibromyalgia	AFFECTS	phenotype_15	0.501581529731418
chemical_22	INHIBITS	necrosis	0.5429480035677136
cyclosporine	INHIBITS	autophagy	0.5167184953709922
disease_64	AFFECTS	phenotype_77	0.599942185469123
phenotype_36	CO_OCCURRED_WITH	fibrosis	0.7646662604644578
chemical_27	PRODUCES	gene_70	0.5083095707159857
chemical_22	STIMULATES	phenotype_12	0.4727903667967193
disease_17	AFFECTS	APP	0.5737126772724016
heparin	TREATS	lupus	0.41735476830777773
chemical_28	PRODUCES	gene_66	0.48863743956844474
phenotype_39	AFFECTS	phenotype_65	0.5081389067805984
phenotype_74	CO_OCCURRED_WITH	necrosis	0.626961342431671
gene_36	REGULATES	gene_18	0.5464836374545767
disease_18	AFFECTS	BDNF	0.5343684149773197
disease_4	AFFECTS	phenotype_82	0.46879464448551633
phenotype_33	AFFECTS	phenotype_8	0.6655159559609262
metaplasia	AFFECTS	phenotype_82	0.6458438248133852
gene_39	AFFECTS	gene_36	0.5671553002232214
disease_1	AFFECTS	gene_38	0.5146962838297787
phenotype_35	CO_OCCURRED_WITH	phenotype_64	0.6794203588251136
hyperplasia	AFFECTS	phenotype_42	0.5999421854691229
PIK3CA	STIMULATES	phenotype_65	0.603937907780326
disease_78	ASSOCIATED_WITH	phenotype_67	0.4812596015513095
chemical_47	AFFECTS	phenotype_89	0.5474831690756804
ubiquitination	AFFECTS	phenotype_14	0.6851880871084672
chemical_28	CAUSES	disease_72	0.393724086130445
leukopoiesis	CO_OCCURRED_WITH	angiogenesis	0.6138465883333104
chemical_34	CAUSES	depression	0.4658552336714286
FOXP3	REGULATES	gene_11	0.5005819981103143
erythropoiesis	AFFECTS	phenotype_1	0.698302841206828
chemical_85	REGULATES	gene_23	0.4612377358152325
phenotype_82	AFFECTS	phenotype_24	0.560597923174041
chemical_53	CAUSES	disease_8	0.39372408613044496
warfarin	PREVENTS	disease_30	0.4507854343247662
gene_83	AFFECTS	phenotype_30	0.5868274313707623
chemical_31	PRODUCES	gene_79	0.573883341207789
phenotype_85	AFFECTS	phenotype_50	0.5474831690756804
gene_70	REGULATES	gene_36	0.6317295390939209
chemical_53	STIMULATES	phenotype_21	0.4793477438458997
disease_41	AFFECTS	phenotype_83	0.6261716936658442
gene_52	INTERACTS_WITH	APP	0.6419830581417997
colitis	AFFECTS	phenotype_90	0.5146962838297787
NFKB1	AFFECTS	phenotype_74	0.6261716936658444
neurogenesis	AFFECTS	myogenesis	0.5081389067805984
digoxin	PREVENTS	disease_80	0.4835723195706678
gene_55	REGULATES	necrosis	0.6317295390939209
gene_35	AFFECTS	gene_78	0.5802700543215821
eczema	AFFECTS	phenotype_22	0.5540405461248606
chemical_13	REGULATES	FOXP3	0.46779511286441283
fibromyalgia	ASSOCIATED_WITH	gene_67	0.5337186179447521
caffeine	REGULATES	EGFR	0.5071393751594947
disease_35	CAUSES	phenotype_53	0.5314290041632319
MGST1	AFFECTS	gene_16	0.5737126772724016
gene_0	REGULATES	Parkin	0.6579590472906423
disease_57	AFFECTS	gene_15	0.5409257920265
chemical_14	CAUSES	disease_78	0.41995359432716634
chemical_72	STIMULATES	gene_19	0.584265776632785
disease_79	AFFECTS	phenotype_35	0.47535202153469674
heparin	PREVENTS	disease_73	0.48357231957066776
chemical_63	REGULATES	gene_18	0.4546803587660521
chemical_5	REGULATES	gene_52	0.4677951128644128
disease_20	AFFECTS	gene_51	0.501581529731418
chemical_30	STIMULATES	BDNF	0.5383641372885227
gene_24	AFFECTS	APOE	0.6524012018625656
disease_87	ASSOCIATED_WITH	phenotype_35	0.5599481261414734
gene_10	STIMULATES	phenotype_10	0.584265776632785
omeprazole	STIMULATES	STAT3	0.5121346290918013
disease_39	ASSOCIATED_WITH	phenotype_74	0.5402759949939324
NRF2	REGULATES	metaplasia	0.6579590472906423
gene_60	AFFECTS	phenotype_6	0.5343684149773197
chemical_48	PREVENTS	disease_88	0.44422805727558584
chemical_20	PREVENTS	disease_83	0.33931002448870057
PIK3CA	AFFECTS	phenotype_81	0.5868274313707623
chemical_12	CAUSES	disease_61	0.47241261072060886
FOXP3	AFFECTS	phenotype_63	0.5671553002232214
simvastatin	REGULATES	gene_70	0.5268115063070357
chemical_52	PRODUCES	gene_49	0.6001128494045104
chemical_75	AFFECTS	apoptosis	0.5933848084199427
gene_10	STIMULATES	lipid peroxidation	0.603937907780326
phenotype_39	CO_OCCURRED_WITH	phenotype_66	0.6335187194808514
vitamin B12	PREVENTS	migraine	0.44422805727558584
alkalosis	CO_OCCURRED_WITH	dysplasia	0.5351580637431463
chemical_54	PREVENTS	disease_76	0.4048837949805039
PSEN1	AFFECTS	gene_60	0.5409257920265
disease_85	AFFECTS	gene_58	0.48846677563305735
disease_54	CAUSES	phenotype_17	0.5183142500648712
phenotype_22	CO_OCCURRED_WITH	phenotype_54	0.5941744571857693
gene_45	REGULATES	glycosylation	0.5399262604053964
chemical_3	REGULATES	CAT	0.48090986696277344
disease_14	ASSOCIATED_WITH	BDNF	0.5402759949939324
gene_16	STIMULATES	thrombopoiesis	0.6498395471245882
warfarin	AFFECTS	phenotype_15	0.42289300514125405
chemical_14	INHIBITS	phenotype_46	0.48393161012509056
disease_30	ASSOCIATED_WITH	neurodifferentiation	0.5140464867972111
cyclosporine	STIMULATES	mTOR	0.544921514337703
gastritis	CAUSES	neurogenesis	0.5707732664583138
chemical_37	INHIBITS	platelet aggregation	0.5757348888136152
testosterone	STIMULATES	GPX1	0.5711510225344243
PIK3CA	INTERACTS_WITH	MMP9	0.7403437138795047
phenotype_54	AFFECTS	hypoxia	0.521253660878959
vitamin B12	STIMULATES	phenotype_39	0.49901987499344064
lupus	CAUSES	phenotype_84	0.5248716271140516
AKT1	AFFECTS	gene_79	0.580270054321582
protein misfolding	AFFECTS	necrosis	0.560597923174041
metformin	PREVENTS	colitis	0.5163592048165695
gene_51	REGULATES	phenotype_37	0.5595983915529372
NFKB1	AFFECTS	PIK3CA	0.7048602182560083
chemical_65	INHIBITS	phenotype_77	0.6085217740595168
gene_40	INTERACTS_WITH	gene_70	0.6550978122401604
STAT3	INTERACTS_WITH	gene_34	0.589524041748357
gene_19	AFFECTS	phenotype_57	0.639286447764205
DNA damage	CO_OCCURRED_WITH	metaplasia	0.7384367522677365
disease_70	AFFECTS	STAT3	0.481909398583877
insulin	CAUSES	disease_44	0.4789699877697893
disease_65	AFFECTS	gene_44	0.5802700543215821
disease_33	CAUSES	phenotype_41	0.5183142500648712
disease_89	ASSOCIATED_WITH	gene_8	0.4615874704037685
phenotype_19	AFFECTS	hypoxia	0.5540405461248606
PIK3CA	STIMULATES	phenotype_33	0.7088559405672112
chemical_64	AFFECTS	apoptosis	0.5933848084199427
caffeine	REGULATES	gene_0	0.533368883356216
chemical_41	PRODUCES	gene_43	0.4492931772733628
pantoprazole	TREATS	disease_62	0.5157154240454827
caffeine	CAUSES	sarcoma	0.5642158894091335
chemical_51	STIMULATES	phenotype_69	0.564593645485244
PSEN2	REGULATES	phenotype_56	0.7235328177824455
CD4	AFFECTS	ubiquitination	0.639286447764205
estrogen	PREVENTS	lymphoma	0.3917690408821432
phenotype_70	AFFECTS	phenotype_86	0.5278110379281393
gene_23	AFFECTS	gene_9	0.5081389067805984
disease_48	ASSOCIATED_WITH	gene_64	0.4747022245021291
chemical_79	PRODUCES	gene_32	0.5017521936668055
chemical_56	INHIBITS	acetylation	0.529833249469353
chemical_32	INHIBITS	phenotype_16	0.5363906265185332
chemical_29	PRODUCES	gene_37	0.5345390789127071
disease_87	ASSOCIATED_WITH	phenotype_72	0.5468333720431127
chemical_52	CAUSES	disease_18	0.47241261072060897
IL1B	STIMULATES	phenotype_63	0.6367247930262276
disease_71	CAUSES	platelet aggregation	0.49864211891733023
disease_40	AFFECTS	gene_63	0.560597923174041
gene_28	INTERACTS_WITH	PIK3CA	0.6157535499450785
disease_43	AFFECTS	phenotype_5	0.521253660878959
phenotype_54	AFFECTS	hyperplasia	0.5343684149773197
disease_22	AFFECTS	gene_65	0.599942185469123
disease_61	AFFECTS	gene_33	0.41633562809207375
chemical_40	INHIBITS	phenotype_5	0.5101611183218119
disease_90	AFFECTS	gene_3	0.4753520215346967
MGST1	AFFECTS	phenotype_22	0.5737126772724016
chemical_20	TREATS	disease_10	0.3845678830618761
digoxin	CAUSES	disease_5	0.4724126107206089
phenotype_80	AFFECTS	phenotype_76	0.5474831690756804
APP	AFFECTS	phenotype_74	0.6130569395674836
phenotype_75	AFFECTS	phenotype_39	0.5212536608789591
disease_50	ASSOCIATED_WITH	phenotype_91	0.553390749092293
chemical_73	PRODUCES	gene_69	0.48863743956844485
disease_54	ASSOCIATED_WITH	phenotype_35	0.5402759949939324
disease_89	AFFECTS	gene_52	0.481909398583877
disease_75	CAUSES	phenotype_10	0.5379863812124123
phenotype_90	CO_OCCURRED_WITH	phenotype_0	0.587617080136589
ischemia	CO_OCCURRED_WITH	phenotype_49	0.587617080136589
vitamin E	CAUSES	disease_23	0.4986421189173302
phenotype_74	AFFECTS	phenotype_2	0.5278110379281393
gene_26	REGULATES	phenotype_61	0.6251721620447406
MYC	AFFECTS	phenotype_47	0.580270054321582
STAT3	REGULATES	phenotype_60	0.553041014503757
hydrochlorothiazide	PRODUCES	gene_39	0.5410964559618874
chemical_44	CAUSES	disease_39	0.5248716271140516
NRF2	INTERACTS_WITH	CD4	0.64854043519098
gene_38	AFFECTS	GPX1	0.5868274313707623
disease_68	AFFECTS	gene_84	0.3835487428461721
disease_52	ASSOCIATED_WITH	phenotype_41	0.5140464867972111
chemical_42	INHIBITS	phenotype_86	0.5363906265185332
omeprazole	INHIBITS	phenotype_1	0.5757348888136152
dopamine	STIMULATES	gene_83	0.49901987499344064
disease_46	AFFECTS	osteoclastogenesis	0.481909398583877
PSEN1	REGULATES	LRRK2	0.5464836374545766
chemical_67	PREVENTS	stroke	0.5163592048165695
gene_14	STIMULATES	phenotype_75	0.5186920061409817
chemical_69	STIMULATES	gene_13	0.5711510225344243
chemical_34	INHIBITS	phenotype_82	0.5298332494693528
gene_66	REGULATES	phenotype_80	0.5792705227004783
gene_82	REGULATES	gene_61	0.6055000308971996
omeprazole	INHIBITS	phenotype_26	0.4183578396332873
phenotype_57	CO_OCCURRED_WITH	ischemia	0.626961342431671
resveratrol	REGULATES	LRRK2	0.5202541292578553
neurodifferentiation	CO_OCCURRED_WITH	phenotype_73	0.5613875719398677
chemical_70	INHIBITS	phenotype_51	0.5495053806168939
MYC	AFFECTS	gene_55	0.6130569395674836
gene_14	AFFECTS	phenotype_60	0.481909398583877
gene_11	REGULATES	angiogenesis	0.5464836374545767
disease_45	ASSOCIATED_WITH	MGST1	0.4484727163054078
disease_33	AFFECTS	phenotype_82	0.46879464448551633
chemical_75	CAUSES	disease_74	0.4068388402288056
lymphoma	CAUSES	platelet aggregation	0.45929785662224826
hydrochlorothiazide	INHIBITS	phenotype_70	0.5495053806168939
chemical_15	PRODUCES	gene_31	0.5345390789127071
disease_21	AFFECTS	phenotype_69	0.4360077592396147
lipid peroxidation	AFFECTS	acidosis	0.6064995625183033
disease_21	CAUSES	myogenesis	0.40028146317962526
IL6	REGULATES	gene_44	0.6514016702414619
gene_1	AFFECTS	CD4	0.6589585789117459
disease_59	ASSOCIATED_WITH	phenotype_82	0.4484727163054078
gene_49	AFFECTS	gene_18	0.5540405461248606
disease_51	CAUSES	DNA damage	0.5445437582615925
norepinephrine	INHIBITS	phenotype_47	0.5429480035677136
disease_50	AFFECTS	phenotype_48	0.580270054321582
chemical_73	CAUSES	disease_82	0.41995359432716634
metoprolol	CAUSES	psoriasis	0.4855273648189696
calcification	CO_OCCURRED_WITH	phenotype_37	0.567944948989048
disease_11	CAUSES	oxidation	0.45929785662224826
chemical_56	REGULATES	gene_75	0.5661557686021176
disease_8	CAUSES	phenotype_35	0.4789699877697893
disease_44	ASSOCIATED_WITH	phenotype_31	0.592735011387375
gene_65	STIMULATES	phenotype_64	0.7350854487639326
phenotype_60	CO_OCCURRED_WITH	phenotype_48	0.5613875719398677
phenotype_89	AFFECTS	phenotype_56	0.5868274313707623
disease_68	AFFECTS	IFNG	0.3966634969445328
chemical_30	TREATS	disease_42	0.46981378470122037
disease_43	AFFECTS	gene_29	0.5343684149773197
phenotype_71	AFFECTS	phenotype_4	0.5671553002232214
gene_68	STIMULATES	oxidation	0.5908231536819653
gene_65	STIMULATES	phenotype_32	0.6236100389278669
leukemia	CAUSES	phenotype_65	0.4658552336714286
caffeine	CAUSES	Raynaud phenomenon	0.5183142500648712
fibrosis	CO_OCCURRED_WITH	thrombopoiesis	0.7581088834152776
chemical_48	STIMULATES	phenotype_54	0.42033135040327674
aneurysm	CAUSES	phenotype_77	0.6297896599009368
gene_67	STIMULATES	autophagy	0.525249383190162
chemical_48	PREVENTS	disease_61	0.3917690408821432
chemical_18	PRODUCES	PIK3CA	0.5869980953061498
chemical_82	CAUSES	disease_59	0.354379823835363
disease_27	AFFECTS	gene_20	0.5343684149773197
chemical_28	INHIBITS	phenotype_87	0.45770210192836924
bronchitis	AFFECTS	IL1B	0.49502415268223765
chemical_68	CAUSES	glioma	0.4068388402288056
gene_42	STIMULATES	lipid peroxidation	0.643282170075408
chemical_31	STIMULATES	PSEN2	0.6367247930262276
chemical_47	TREATS	disease_90	0.4960432928979417
disease_11	ASSOCIATED_WITH	NQO1	0.5271612408955717
apoptosis	AFFECTS	phenotype_54	0.6064995625183033
osteoclastogenesis	CO_OCCURRED_WITH	hyperplasia	0.6138465883333103
chemical_56	STIMULATES	gene_76	0.5580362684360637
gene_58	REGULATES	IL1B	0.5727131456512979
IL1B	REGULATES	phenotype_77	0.6645164243398225
GPX1	AFFECTS	phenotype_8	0.619614316616664
gene_82	REGULATES	PTEN	0.5136967522086751
chemical_32	TREATS	disease_2	0.5157154240454827
gene_11	STIMULATES	phenotype_50	0.603937907780326
curcumin	PRODUCES	gene_18	0.4230636690766415
lisinopril	STIMULATES	gene_31	0.5777083995836046
disease_88	ASSOCIATED_WITH	Parkin	0.5992923884365553
chemical_41	TREATS	epilepsy	0.4566990306028597
stroke	ASSOCIATED_WITH	gene_21	0.5337186179447521
NOS3	AFFECTS	gene_81	0.5933848084199426
chemical_32	PRODUCES	gene_77	0.5869980953061497
gene_30	REGULATES	gene_70	0.7038606866349045
disease_0	CAUSES	phenotype_74	0.49208474186814993
phenotype_80	AFFECTS	phenotype_14	0.6655159559609263
chemical_35	CAUSES	disease_41	0.4789699877697892
gene_56	REGULATES	osteoclastogenesis	0.61205740794638
disease_41	AFFECTS	gene_15	0.5278110379281393
disease_28	ASSOCIATED_WITH	gene_69	0.42880058515786684
caffeic acid	PREVENTS	cirrhosis	0.43111330317722524
gene_61	REGULATES	gene_17	0.6251721620447406
gene_34	AFFECTS	phenotype_10	0.580270054321582
phenotype_81	AFFECTS	phenotype_89	0.5146962838297787
insulin resistance	AFFECTS	metaplasia	0.6261716936658442
phenotype_23	AFFECTS	phenotype_17	0.44912251333797537
cirrhosis	CAUSES	phenotype_34	0.5707732664583139
phenotype_35	CO_OCCURRED_WITH	oxidative stress	0.5548301948906874
HMOX1	AFFECTS	gene_21	0.5146962838297787
gene_57	AFFECTS	phenotype_55	0.639286447764205
MYC	INTERACTS_WITH	gene_3	0.6354256810926194
heparin	STIMULATES	gene_52	0.4727903667967193
phenotype_33	CO_OCCURRED_WITH	erythropoiesis	0.7187646211201956
disease_60	AFFECTS	gene_49	0.5868274313707623
